job_title,experience_level,employment_type,company_size,company_location,employee_residence,industry,remote_ratio,years_experience,education_level,primary_language,has_ml_in_title,manages_people,team_size,certifications_count,weekly_hours,uses_ai_tools_daily,ai_tools_hours_per_week,salary_currency,salary_usd,equity_offered_pct,bonus_pct,job_satisfaction_score,interviews_to_offer,switched_jobs_last_year,upskilling_hours_per_month,fears_ai_automation_score
Data Analyst,Lead,Part-time,S,IN,AU,Finance,0,14.4,Bachelors,Python,False,True,5,0,48.0,True,12.5,INR,23844,0.505,11.6,5.5,8,True,2.2,7.4
Research Scientist,Senior,Full-time,L,US,US,Retail,50,7.6,Masters,SQL,True,False,6,1,41.6,False,2.1,USD,170132,0.054,2.9,7.0,3,False,8.2,5.3
Machine Learning Engineer,Entry,Full-time,M,US,US,Government,0,0.0,Bootcamp,Python,True,False,4,1,55.1,True,5.1,USD,83059,0.191,7.5,5.9,1,False,2.8,6.8
Data Engineer,Senior,Full-time,M,BR,IN,Government,100,9.7,Masters,Java,False,False,6,2,41.1,True,2.0,BRL,29531,0.102,9.3,5.6,5,False,7.8,5.0
Data Engineer,Mid,Full-time,M,US,US,Education,0,3.2,Bachelors,Python,False,False,13,2,48.2,False,4.0,USD,70105,0.064,10.6,4.6,4,False,9.1,5.1
Analytics Engineer,Senior,Full-time,M,SG,SG,Finance,100,11.6,Masters,Python,False,False,9,1,54.6,True,17.4,SGD,97827,0.131,12.2,7.9,3,False,12.2,4.3
Business Intelligence Analyst,Senior,Full-time,M,US,US,Technology,0,9.8,Bachelors,Python,False,False,6,1,48.4,False,0.5,USD,120062,0.039,13.0,5.5,6,False,10.9,6.4
Data Analyst,Entry,Full-time,M,US,US,Retail,0,1.4,Masters,Python,False,False,11,3,49.8,False,4.2,USD,64165,0.187,12.7,7.3,3,True,14.5,6.4
Research Scientist,Mid,Full-time,M,AU,AU,Finance,0,2.2,Masters,Python,True,False,12,3,36.1,True,6.6,AUD,112968,0.036,11.0,7.7,3,False,3.0,2.3
Data Engineer,Entry,Part-time,L,GB,GB,Healthcare,0,2.8,Self-taught,SQL,False,False,8,2,44.8,False,2.0,GBP,26464,0.044,0.0,6.2,5,False,9.3,5.4
Data Science Manager,Senior,Full-time,M,US,US,Healthcare,0,9.5,Bachelors,Python,False,False,9,0,47.5,True,7.8,USD,188326,0.053,18.9,4.9,6,True,16.7,4.6
Computer Vision Engineer,Mid,Contract,L,GB,GB,Technology,0,6.6,Bachelors,SQL,True,False,6,1,47.6,False,3.1,GBP,112063,0.027,6.5,6.9,5,False,11.0,6.4
Research Scientist,Lead,Full-time,M,IN,DE,Consulting,100,14.1,Masters,Python,True,True,8,1,51.3,True,4.3,INR,60087,0.259,20.3,5.3,10,True,10.0,3.0
Analytics Engineer,Entry,Full-time,L,US,US,Healthcare,50,4.0,Bachelors,SQL,False,False,11,1,43.3,True,5.0,USD,75169,0.065,4.3,6.1,2,False,17.0,6.3
Machine Learning Engineer,Mid,Freelance,L,FR,FR,Technology,50,6.9,Masters,SQL,True,False,5,1,42.5,True,7.0,EUR,123386,0.07,10.2,9.1,4,False,12.2,4.2
LLM Engineer,Entry,Full-time,M,DE,DE,Healthcare,0,1.5,Masters,SQL,True,False,11,2,36.3,True,5.4,EUR,61792,0.0,6.3,9.0,4,False,9.5,4.0
Machine Learning Engineer,Entry,Full-time,L,US,US,Technology,0,0.1,Masters,SQL,True,False,5,2,38.3,True,14.3,USD,121126,0.005,4.3,7.5,3,False,15.3,5.6
Data Engineer,Mid,Full-time,L,US,US,Media,50,9.0,Self-taught,Python,False,False,5,3,49.5,True,9.5,USD,127602,0.046,7.3,6.6,2,False,10.8,7.4
Data Analyst,Entry,Contract,S,PL,PL,Consulting,0,2.8,Bachelors,SQL,False,False,7,0,43.6,False,0.9,PLN,24899,0.0,7.0,5.5,4,False,12.3,6.4
Data Analyst,Mid,Full-time,S,PL,PL,Retail,50,4.6,Bachelors,Python,False,False,6,1,42.8,True,9.7,PLN,29902,0.344,4.2,4.3,5,False,10.2,5.8
Machine Learning Engineer,Senior,Full-time,L,US,IN,Technology,100,9.1,Masters,Python,True,False,6,3,44.4,False,2.5,USD,267112,0.0,13.9,7.6,4,True,11.8,6.6
Machine Learning Engineer,Mid,Full-time,M,GB,GB,Retail,50,6.3,Masters,Python,True,False,12,0,32.6,True,8.2,GBP,95682,0.005,14.6,7.4,5,True,2.2,3.5
Research Scientist,Entry,Full-time,M,IN,IN,Manufacturing,50,4.6,PhD,R,True,False,13,1,34.9,False,1.9,INR,32162,0.133,19.5,6.8,4,False,7.6,4.1
